Trade ID,Entry time,Entry price,Stop loss,Target 1,Target 2,Exit time,Exit price,Exit reason,R multiple,Setup score at entry,Regime at entry
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1355.877839769266,1361.9333624164133,1364.3555714752724,1368.699951171875,1367.2706352661658,STOP_LOSS,2.4222090588589253,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1356.8478936250328,1362.7280374921384,1365.0800950389803,1368.699951171875,1367.2706352661658,STOP_LOSS,2.352057546842161,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1357.0302811060571,1362.704700411227,1364.9744681332945,1368.699951171875,1367.2706352661658,STOP_LOSS,2.2697677220678543,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1357.71523800808,1363.1772040230362,1365.361990429019,1368.699951171875,1367.2706352661658,STOP_LOSS,2.1847864059825497,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1358.159885837302,1363.5102933143594,1365.6504563051826,1368.699951171875,1367.2706352661658,STOP_LOSS,2.1401629908230007,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1357.3355852585214,1362.4966831473741,1364.5611223029152,1368.699951171875,1367.2706352661658,STOP_LOSS,2.064439155541095,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1357.637261855569,1362.7939851463339,1364.85667446264,1368.699951171875,1367.2706352661658,STOP_LOSS,2.0626893163059776,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1358.3303906125373,1363.5044751163505,1365.5741089178755,1368.699951171875,1367.2706352661658,STOP_LOSS,2.0696338015252422,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1358.7095832055033,1363.6855031214325,1365.6758710878041,1368.699951171875,1367.2706352661658,STOP_LOSS,1.9903679663716503,6.5,TREND_UP
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1358.5660868883692,1363.4008696674462,1365.334782779077,1368.699951171875,1367.2706352661658,STOP_LOSS,1.9339131116307726,6.5,TREND_DOWN
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1359.2756032825034,1364.0864730059325,1366.0108208953038,1368.699951171875,1367.2706352661658,STOP_LOSS,1.9243478893715746,6.5,TREND_UP
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1359.0359849955837,1363.6960835417808,1365.5601229602594,1368.699951171875,1367.2706352661658,STOP_LOSS,1.8640394184787965,6.5,TREND_UP
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1359.717679775475,1364.1734803367874,1365.9558005613123,1368.699951171875,1367.2706352661658,STOP_LOSS,1.7823202245249377,6.5,TREND_UP
TRD-71,2026-05-29 15:25:00+05:30,2026-05-29 15:25:00+05:30,1357.8735109633874,1362.4396114846063,1364.2660516930941,1368.699951171875,1367.2706352661658,STOP_LOSS,1.826440208487611,6.5,TREND_DOWN
