Timestamp,Entry type,Breakout level,Retest zone,Entry price,Stop loss,Target 1,Target 2,Reason codes
2026-05-29 15:25:00+05:30,limit,,False,1364.5999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1364.5999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1360.5999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1360.5999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1359.5999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1359.4000244140625,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1360.5,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1361.9000244140625,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1360.0999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1360.699951171875,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1361.300048828125,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1362.0999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1363.0999755859375,,,,False
2026-05-29 15:25:00+05:30,limit,,False,1363.300048828125,1360.4372000558035,1367.5943219866072,1370.457170758929,False
2026-05-29 15:25:00+05:30,limit,,False,1361.0,1358.1016362404337,1365.3475456393494,1368.245909398916,False
2026-05-29 15:25:00+05:30,limit,,False,1360.4000244140625,1357.5372580658939,1364.6941739363156,1367.556940284484,False
2026-05-29 15:25:00+05:30,limit,,False,1362.0999755859375,1359.2274068340666,1366.4088287137438,1369.2813974656146,False
2026-05-29 15:25:00+05:30,limit,,False,1362.0,1359.2469004446912,1366.1296493329633,1368.882748888272,False
2026-05-29 15:25:00+05:30,limit,,False,1360.800048828125,1358.1064584765436,1364.840434355497,1367.5340247070785,False
2026-05-29 15:25:00+05:30,limit,,False,1361.5,1358.8702375306746,1365.4446437039883,1368.0744061733135,False
2026-05-29 15:25:00+05:30,limit,1370.9000244140625,False,1361.300048828125,1358.7466937784834,1365.1300814025874,1367.683436452229,False
2026-05-29 15:25:00+05:30,limit,1367.0,False,1361.9000244140625,1359.4261989103775,1365.61076266959,1368.084588173275,False
2026-05-29 15:25:00+05:30,limit,1365.0,False,1361.5999755859375,1359.157131340328,1365.2642419543517,1367.707086199961,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1362.0999755859375,1359.703048786443,1365.695365785179,1368.0922925846735,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1361.0999755859375,1358.7285372799338,1364.657133044943,1367.0285713509468,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1361.9000244140625,1359.5694031299163,1365.3959563402818,1367.726577624428,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1360.699951171875,1358.3129477863731,1364.2804562501278,1366.6674596356297,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1358.300048828125,1355.877839769266,1361.9333624164133,1364.3555714752724,False
2026-05-29 15:25:00+05:30,limit,1364.4000244140625,False,1359.199951171875,1356.8478936250328,1362.7280374921384,1365.0800950389803,False
