,timestamp,open,high,low,close,volume,vwap,atr_14,spread_pct,liquidity_score,oi,mse_state,regime,ipse_alignment,microstructure_state,mps_state
2026-05-25 09:15:00+05:30,2026-05-29 15:25:00+05:30,1365.5,1370.9000244140625,1364.5999755859375,1364.5999755859375,0,,,0.4616773370100537,0.0,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:20:00+05:30,2026-05-29 15:25:00+05:30,1364.0,1367.0,1364.0,1364.5999755859375,153266,1365.1999918619792,,0.2198446470521039,666824.3179283433,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:25:00+05:30,2026-05-29 15:25:00+05:30,1364.699951171875,1365.0,1360.300048828125,1360.5999755859375,132467,1363.701012707915,,0.34543225460892596,372692.68132615153,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:30:00+05:30,2026-05-29 15:25:00+05:30,1360.5999755859375,1361.0999755859375,1359.0999755859375,1360.5999755859375,135830,1362.5944389835965,,0.146993975884698,865192.4332418869,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:35:00+05:30,2026-05-29 15:25:00+05:30,1360.5999755859375,1360.699951171875,1358.0999755859375,1359.5999755859375,113328,1361.9317472011671,,0.1912309232586597,563173.8808569178,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:40:00+05:30,2026-05-29 15:25:00+05:30,1359.699951171875,1359.699951171875,1358.0999755859375,1359.4000244140625,92269,1361.5102285813382,,0.11769718678849753,722560.9453152905,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:45:00+05:30,2026-05-29 15:25:00+05:30,1359.5999755859375,1360.5999755859375,1359.199951171875,1360.5,88077,1361.3365646726254,,0.1029051388506064,780097.3533768163,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:50:00+05:30,2026-05-29 15:25:00+05:30,1360.5999755859375,1362.0,1360.0,1361.9000244140625,109640,1361.3317056955248,,0.14685365769491565,698995.4943432214,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 09:55:00+05:30,2026-05-29 15:25:00+05:30,1361.699951171875,1362.0,1360.0,1360.0999755859375,78936,1361.2765339252971,,0.14704801381518962,502623.35754777526,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:00:00+05:30,2026-05-29 15:25:00+05:30,1360.5,1361.300048828125,1360.0,1360.699951171875,50856,1361.2440457966316,,0.09554265266235658,481852.58487575024,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:05:00+05:30,2026-05-29 15:25:00+05:30,1360.699951171875,1362.0999755859375,1360.300048828125,1361.300048828125,46249,1361.2435519384044,,0.13222116309787596,325190.702934778,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:10:00+05:30,2026-05-29 15:25:00+05:30,1361.5,1363.0999755859375,1361.300048828125,1362.0999755859375,64076,1361.299091687293,,0.13214351296337273,450783.84981600236,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:15:00+05:30,2026-05-29 15:25:00+05:30,1362.0999755859375,1363.5999755859375,1362.0,1363.0999755859375,63919,1361.3897341177474,,0.11737771363760313,501806.77745443914,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:20:00+05:30,2026-05-29 15:25:00+05:30,1363.5,1364.4000244140625,1363.199951171875,1363.300048828125,64369,1361.5107606326403,2.385707310267857,0.08802708128845645,656645.0735239836,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:25:00+05:30,2026-05-29 15:25:00+05:30,1363.300048828125,1363.300048828125,1360.5,1361.0,73431,1361.5159347574424,2.415303132971939,0.20573466775349009,340376.4483690038,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:30:00+05:30,2026-05-29 15:25:00+05:30,1360.5,1361.5,1359.5,1360.4000244140625,57620,1361.4702828266384,2.3856386234739433,0.14701558101349047,366969.95054936234,,BEARISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
2026-05-25 10:35:00+05:30,2026-05-29 15:25:00+05:30,1360.5999755859375,1362.5,1360.0,1362.0999755859375,50262,1361.472587967814,2.3938072932258043,0.1835401251603848,259698.085646831,,BULLISH_STRUCTURE,TREND_DOWN,ALIGNED_BEARISH,LIQUID,CONTRACTION
